BI00B1200    7360T51A06     202208117289-3342                HOUSING FEMALE ASS'Y     CCN000417600000000000FY00000000020211101000000000NNEQ0820211201185715    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202201207289-3342-30             HOUSING FEMALE ASS'Y     CCN000103200000000000FY00000000020211101000000000NNEQ0820211201192927    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202202177289-3342-40             HOUSING FEMALE ASS'Y     CCN000182400000000000FY00000000020211101000000000NNEQ0420211201191229    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202202177289-3342-90             HOUSING FEMALE ASS'Y     CCN000168000000000000FY00000000020211101000000000NNEQ0820211201192708    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202201277289-6547                HOUSING FEMALE ASS'Y     CCN000076800000000000FY00000000020211101000000000NNEQ0820211201193800    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    7360T51A06     202208187289-3342                HOUSING FEMALE ASS'Y     CCN000019200000000000FY00000000020211101000000000NNED0820211201185715    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202208257289-3342                HOUSING FEMALE ASS'Y     CCN000019200000000000FY00000000020211101000000000NNED0820211201185715    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202209017289-3342                HOUSING FEMALE ASS'Y     CCN000019200000000000FY00000000020211101000000000NNED0820211201185715    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202209087289-3342                HOUSING FEMALE ASS'Y     CCN000019200000000000FY00000000020211101000000000NNED0820211201185715    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202209157289-3342                HOUSING FEMALE ASS'Y     CCN000019200000000000FY00000000020211101000000000NNED0820211201185715    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202209227289-3342                HOUSING FEMALE ASS'Y     CCN000019200000000000FY00000000020211101000000000NNED0820211201185715    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202209297289-3342                HOUSING FEMALE ASS'Y     CCN000019200000000000FY00000000020211101000000000NNED0820211201185715    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202210067289-3342                HOUSING FEMALE ASS'Y     CCN000019200000000000FY00000000020211101000000000NNED0820211201185715    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202210137289-3342                HOUSING FEMALE ASS'Y     CCN000019200000000000FY00000000020211101000000000NNED0820211201185715    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202210207289-3342                HOUSING FEMALE ASS'Y     CCN000019200000000000FY00000000020211101000000000NNED0820211201185715    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202210277289-3342                HOUSING FEMALE ASS'Y     CCN000019200000000000FY00000000020211101000000000NNED0820211201185715    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202211037289-3342                HOUSING FEMALE ASS'Y     CCN000019200000000000FY00000000020211101000000000NNED0820211201185715    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202211107289-3342                HOUSING FEMALE ASS'Y     CCN000019200000000000FY00000000020211101000000000NNED0820211201185715    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202211177289-3342                HOUSING FEMALE ASS'Y     CCN000019200000000000FY00000000020211101000000000NNED0820211201185715    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202211247289-3342                HOUSING FEMALE ASS'Y     CCN000019200000000000FY00000000020211101000000000NNED0820211201185715    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202212017289-3342                HOUSING FEMALE ASS'Y     CCN000021600000000000FY00000000020211101000000000NNED0820211201185715    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    7360T51A06     202212087289-3342                HOUSING FEMALE ASS'Y     CCN000021600000000000FY00000000020211101000000000NNED0820211201185715    1N0N  0000024000000068640000090141200    YCYC    005500360039
